county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Orange,70123,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70124,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70124,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70125,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70125,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70126,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70126,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70127,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70127,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70128,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70128,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70133,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70133,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70134,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70134,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70135,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70135,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,70136,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,70136,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71120,Insurance Commissioner,,DEM,RICARDO LARA,656,401,12,243
Orange,71120,Insurance Commissioner,,,STEVE POIZNER,436,262,4,170
Orange,71121,Insurance Commissioner,,DEM,RICARDO LARA,290,156,6,128
Orange,71121,Insurance Commissioner,,,STEVE POIZNER,172,95,3,74
Orange,71231,Insurance Commissioner,,DEM,RICARDO LARA,346,193,8,145
Orange,71231,Insurance Commissioner,,,STEVE POIZNER,697,501,7,189
Orange,71232,Insurance Commissioner,,DEM,RICARDO LARA,240,136,5,99
Orange,71232,Insurance Commissioner,,,STEVE POIZNER,161,86,2,73
Orange,71237,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,71237,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71239,Insurance Commissioner,,DEM,RICARDO LARA,656,397,12,247
Orange,71239,Insurance Commissioner,,,STEVE POIZNER,430,263,10,157
Orange,71240,Insurance Commissioner,,DEM,RICARDO LARA,573,333,7,233
Orange,71240,Insurance Commissioner,,,STEVE POIZNER,649,384,9,256
Orange,71245,Insurance Commissioner,,DEM,RICARDO LARA,469,310,7,152
Orange,71245,Insurance Commissioner,,,STEVE POIZNER,784,513,14,257
Orange,71253,Insurance Commissioner,,DEM,RICARDO LARA,4,3,0,1
Orange,71253,Insurance Commissioner,,,STEVE POIZNER,5,5,0,0
Orange,71256,Insurance Commissioner,,DEM,RICARDO LARA,5,4,0,1
Orange,71256,Insurance Commissioner,,,STEVE POIZNER,7,4,0,3
Orange,71258,Insurance Commissioner,,DEM,RICARDO LARA,316,210,5,101
Orange,71258,Insurance Commissioner,,,STEVE POIZNER,328,214,4,110
Orange,71262,Insurance Commissioner,,DEM,RICARDO LARA,405,292,9,104
Orange,71262,Insurance Commissioner,,,STEVE POIZNER,652,441,9,202
Orange,71263,Insurance Commissioner,,DEM,RICARDO LARA,218,147,6,65
Orange,71263,Insurance Commissioner,,,STEVE POIZNER,345,236,6,103
Orange,71264,Insurance Commissioner,,DEM,RICARDO LARA,269,188,12,69
Orange,71264,Insurance Commissioner,,,STEVE POIZNER,351,252,5,94
Orange,71266,Insurance Commissioner,,DEM,RICARDO LARA,488,339,8,141
Orange,71266,Insurance Commissioner,,,STEVE POIZNER,919,606,13,300
Orange,71269,Insurance Commissioner,,DEM,RICARDO LARA,320,202,4,114
Orange,71269,Insurance Commissioner,,,STEVE POIZNER,418,260,6,152
Orange,71270,Insurance Commissioner,,DEM,RICARDO LARA,673,468,27,178
Orange,71270,Insurance Commissioner,,,STEVE POIZNER,780,533,18,229
Orange,71283,Insurance Commissioner,,DEM,RICARDO LARA,472,269,13,190
Orange,71283,Insurance Commissioner,,,STEVE POIZNER,247,172,5,70
Orange,71284,Insurance Commissioner,,DEM,RICARDO LARA,275,170,7,98
Orange,71284,Insurance Commissioner,,,STEVE POIZNER,369,266,2,101
Orange,71285,Insurance Commissioner,,DEM,RICARDO LARA,187,115,5,67
Orange,71285,Insurance Commissioner,,,STEVE POIZNER,170,112,2,56
Orange,71347,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,71347,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71349,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,71349,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71350,Insurance Commissioner,,DEM,RICARDO LARA,295,168,11,116
Orange,71350,Insurance Commissioner,,,STEVE POIZNER,114,61,4,49
Orange,71356,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,71356,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71361,Insurance Commissioner,,DEM,RICARDO LARA,302,220,7,75
Orange,71361,Insurance Commissioner,,,STEVE POIZNER,531,349,7,175
Orange,71362,Insurance Commissioner,,DEM,RICARDO LARA,1,1,0,0
Orange,71362,Insurance Commissioner,,,STEVE POIZNER,12,12,0,0
Orange,71364,Insurance Commissioner,,DEM,RICARDO LARA,190,102,6,82
Orange,71364,Insurance Commissioner,,,STEVE POIZNER,147,78,4,65
Orange,71368,Insurance Commissioner,,DEM,RICARDO LARA,367,235,18,114
Orange,71368,Insurance Commissioner,,,STEVE POIZNER,449,311,5,133
Orange,71370,Insurance Commissioner,,DEM,RICARDO LARA,526,344,26,156
Orange,71370,Insurance Commissioner,,,STEVE POIZNER,637,435,7,195
Orange,71378,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,71378,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,71380,Insurance Commissioner,,DEM,RICARDO LARA,28,24,3,1
Orange,71380,Insurance Commissioner,,,STEVE POIZNER,71,66,4,1
Orange,71381,Insurance Commissioner,,DEM,RICARDO LARA,656,452,15,189
Orange,71381,Insurance Commissioner,,,STEVE POIZNER,786,571,19,196
Orange,71701,Insurance Commissioner,,DEM,RICARDO LARA,566,339,6,221
Orange,71701,Insurance Commissioner,,,STEVE POIZNER,629,422,4,203
Orange,72080,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,72080,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,72085,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,72085,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,72087,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,72087,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,72091,Insurance Commissioner,,DEM,RICARDO LARA,401,275,13,113
Orange,72091,Insurance Commissioner,,,STEVE POIZNER,1217,843,19,355
Orange,72093,Insurance Commissioner,,DEM,RICARDO LARA,39,14,0,25
Orange,72093,Insurance Commissioner,,,STEVE POIZNER,164,111,1,52
Orange,72096,Insurance Commissioner,,DEM,RICARDO LARA,379,257,14,108
Orange,72096,Insurance Commissioner,,,STEVE POIZNER,1204,807,15,382
Orange,72098,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,72098,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,72110,Insurance Commissioner,,DEM,RICARDO LARA,0,0,0,0
Orange,72110,Insurance Commissioner,,,STEVE POIZNER,0,0,0,0
Orange,72120,Insurance Commissioner,,DEM,RICARDO LARA,6,6,0,0
Orange,72120,Insurance Commissioner,,,STEVE POIZNER,13,13,0,0
Orange,72121,Insurance Commissioner,,DEM,RICARDO LARA,112,64,1,47
Orange,72121,Insurance Commissioner,,,STEVE POIZNER,165,100,4,61
Orange,72122,Insurance Commissioner,,DEM,RICARDO LARA,77,44,0,33
Orange,72122,Insurance Commissioner,,,STEVE POIZNER,204,144,0,60
Orange,72254,Insurance Commissioner,,DEM,RICARDO LARA,424,295,9,120
Orange,72254,Insurance Commissioner,,,STEVE POIZNER,1069,679,20,370
Orange,72255,Insurance Commissioner,,DEM,RICARDO LARA,545,352,8,185
Orange,72255,Insurance Commissioner,,,STEVE POIZNER,968,584,5,379
Orange,72256,Insurance Commissioner,,DEM,RICARDO LARA,250,173,4,73
Orange,72256,Insurance Commissioner,,,STEVE POIZNER,721,443,12,266
Orange,72269,Insurance Commissioner,,DEM,RICARDO LARA,140,84,1,55
Orange,72269,Insurance Commissioner,,,STEVE POIZNER,295,186,3,106
Orange,72272,Insurance Commissioner,,DEM,RICARDO LARA,204,140,6,58
Orange,72272,Insurance Commissioner,,,STEVE POIZNER,524,337,7,180
Orange,72312,Insurance Commissioner,,DEM,RICARDO LARA,67,39,0,28
Orange,72312,Insurance Commissioner,,,STEVE POIZNER,150,83,1,66
Orange,72314,Insurance Commissioner,,DEM,RICARDO LARA,370,229,9,132
Orange,72314,Insurance Commissioner,,,STEVE POIZNER,899,580,16,303
Orange,72318,Insurance Commissioner,,DEM,RICARDO LARA,302,177,4,121
Orange,72318,Insurance Commissioner,,,STEVE POIZNER,472,300,3,169
Orange,72321,Insurance Commissioner,,DEM,RICARDO LARA,125,57,4,64
Orange,72321,Insurance Commissioner,,,STEVE POIZNER,275,143,1,131
Orange,72701,Insurance Commissioner,,DEM,RICARDO LARA,106,67,4,35
Orange,72701,Insurance Commissioner,,,STEVE POIZNER,309,214,3,92
Orange,72702,Insurance Commissioner,,DEM,RICARDO LARA,391,269,5,117
Orange,72702,Insurance Commissioner,,,STEVE POIZNER,1079,743,7,329
Orange,75110,Insurance Commissioner,,DEM,RICARDO LARA,202,135,4,63
Orange,75110,Insurance Commissioner,,,STEVE POIZNER,682,432,3,247
Orange,75116,Insurance Commissioner,,DEM,RICARDO LARA,151,109,3,39
Orange,75116,Insurance Commissioner,,,STEVE POIZNER,507,343,0,164
Orange,75117,Insurance Commissioner,,DEM,RICARDO LARA,15,13,2,0
Orange,75117,Insurance Commissioner,,,STEVE POIZNER,51,48,1,2
Orange,75122,Insurance Commissioner,,DEM,RICARDO LARA,61,40,2,19
Orange,75122,Insurance Commissioner,,,STEVE POIZNER,160,97,0,63
Orange,75701,Insurance Commissioner,,DEM,RICARDO LARA,50,29,0,21
Orange,75701,Insurance Commissioner,,,STEVE POIZNER,158,92,2,64
Orange,75702,Insurance Commissioner,,DEM,RICARDO LARA,215,139,2,74
Orange,75702,Insurance Commissioner,,,STEVE POIZNER,796,530,0,266
Orange,2001,Board of Equalization,4,REP,JOEL ANDERSON,131,112,3,16
Orange,2001,Board of Equalization,4,DEM,MIKE SCHAEFER,219,137,0,82
Orange,2002,Board of Equalization,4,REP,JOEL ANDERSON,13,6,0,7
Orange,2002,Board of Equalization,4,DEM,MIKE SCHAEFER,90,45,0,45
Orange,2008,Board of Equalization,4,REP,JOEL ANDERSON,347,216,5,126
Orange,2008,Board of Equalization,4,DEM,MIKE SCHAEFER,800,491,16,293
Orange,2009,Board of Equalization,4,REP,JOEL ANDERSON,251,161,1,89
Orange,2009,Board of Equalization,4,DEM,MIKE SCHAEFER,454,265,0,189
Orange,2011,Board of Equalization,4,REP,JOEL ANDERSON,443,274,2,167
Orange,2011,Board of Equalization,4,DEM,MIKE SCHAEFER,329,200,6,123
Orange,2012,Board of Equalization,4,REP,JOEL ANDERSON,122,68,2,52
Orange,2012,Board of Equalization,4,DEM,MIKE SCHAEFER,287,159,2,126
Orange,2015,Board of Equalization,4,REP,JOEL ANDERSON,110,60,0,50
Orange,2015,Board of Equalization,4,DEM,MIKE SCHAEFER,142,71,0,71
Orange,2016,Board of Equalization,4,REP,JOEL ANDERSON,213,119,3,91
Orange,2016,Board of Equalization,4,DEM,MIKE SCHAEFER,141,76,1,64
Orange,2017,Board of Equalization,4,REP,JOEL ANDERSON,691,451,5,235
Orange,2017,Board of Equalization,4,DEM,MIKE SCHAEFER,457,280,11,166
Orange,2023,Board of Equalization,4,REP,JOEL ANDERSON,270,171,3,96
Orange,2023,Board of Equalization,4,DEM,MIKE SCHAEFER,322,179,7,136
Orange,2024,Board of Equalization,4,REP,JOEL ANDERSON,348,192,1,155
Orange,2024,Board of Equalization,4,DEM,MIKE SCHAEFER,316,173,3,140
Orange,2030,Board of Equalization,4,REP,JOEL ANDERSON,305,189,2,114
Orange,2030,Board of Equalization,4,DEM,MIKE SCHAEFER,289,182,1,106
Orange,2033,Board of Equalization,4,REP,JOEL ANDERSON,323,218,3,102
Orange,2033,Board of Equalization,4,DEM,MIKE SCHAEFER,354,217,9,128
Orange,2034,Board of Equalization,4,REP,JOEL ANDERSON,3,3,0,0
Orange,2034,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2036,Board of Equalization,4,REP,JOEL ANDERSON,344,194,3,147
Orange,2036,Board of Equalization,4,DEM,MIKE SCHAEFER,173,105,7,61
Orange,2038,Board of Equalization,4,REP,JOEL ANDERSON,510,336,2,172
Orange,2038,Board of Equalization,4,DEM,MIKE SCHAEFER,172,98,5,69
Orange,2040,Board of Equalization,4,REP,JOEL ANDERSON,422,219,1,202
Orange,2040,Board of Equalization,4,DEM,MIKE SCHAEFER,244,121,5,118
Orange,2042,Board of Equalization,4,REP,JOEL ANDERSON,648,374,11,263
Orange,2042,Board of Equalization,4,DEM,MIKE SCHAEFER,615,362,6,247
Orange,2047,Board of Equalization,4,REP,JOEL ANDERSON,942,601,7,334
Orange,2047,Board of Equalization,4,DEM,MIKE SCHAEFER,546,352,8,186
Orange,2048,Board of Equalization,4,REP,JOEL ANDERSON,751,447,6,298
Orange,2048,Board of Equalization,4,DEM,MIKE SCHAEFER,550,337,6,207
Orange,2049,Board of Equalization,4,REP,JOEL ANDERSON,312,208,0,104
Orange,2049,Board of Equalization,4,DEM,MIKE SCHAEFER,189,97,5,87
Orange,2051,Board of Equalization,4,REP,JOEL ANDERSON,889,641,10,238
Orange,2051,Board of Equalization,4,DEM,MIKE SCHAEFER,514,340,5,169
Orange,2054,Board of Equalization,4,REP,JOEL ANDERSON,509,323,10,176
Orange,2054,Board of Equalization,4,DEM,MIKE SCHAEFER,664,438,10,216
Orange,2055,Board of Equalization,4,REP,JOEL ANDERSON,222,130,6,86
Orange,2055,Board of Equalization,4,DEM,MIKE SCHAEFER,450,261,9,180
Orange,2060,Board of Equalization,4,REP,JOEL ANDERSON,287,171,1,115
Orange,2060,Board of Equalization,4,DEM,MIKE SCHAEFER,150,85,1,64
Orange,2061,Board of Equalization,4,REP,JOEL ANDERSON,1,1,0,0
Orange,2061,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2072,Board of Equalization,4,REP,JOEL ANDERSON,695,430,13,252
Orange,2072,Board of Equalization,4,DEM,MIKE SCHAEFER,523,344,8,171
Orange,2079,Board of Equalization,4,REP,JOEL ANDERSON,1050,698,8,344
Orange,2079,Board of Equalization,4,DEM,MIKE SCHAEFER,634,412,12,210
Orange,2081,Board of Equalization,4,REP,JOEL ANDERSON,417,275,3,139
Orange,2081,Board of Equalization,4,DEM,MIKE SCHAEFER,308,192,4,112
Orange,2082,Board of Equalization,4,REP,JOEL ANDERSON,550,342,10,198
Orange,2082,Board of Equalization,4,DEM,MIKE SCHAEFER,429,259,11,159
Orange,2088,Board of Equalization,4,REP,JOEL ANDERSON,339,198,2,139
Orange,2088,Board of Equalization,4,DEM,MIKE SCHAEFER,391,235,7,149
Orange,2095,Board of Equalization,4,REP,JOEL ANDERSON,2,1,0,1
Orange,2095,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2096,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2096,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2097,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2097,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2098,Board of Equalization,4,REP,JOEL ANDERSON,80,46,1,33
Orange,2098,Board of Equalization,4,DEM,MIKE SCHAEFER,147,83,3,61
Orange,2099,Board of Equalization,4,REP,JOEL ANDERSON,30,18,1,11
Orange,2099,Board of Equalization,4,DEM,MIKE SCHAEFER,94,55,2,37
Orange,2100,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2100,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2101,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2101,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2102,Board of Equalization,4,REP,JOEL ANDERSON,1,0,0,1
Orange,2102,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2108,Board of Equalization,4,REP,JOEL ANDERSON,2,2,0,0
Orange,2108,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2109,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2109,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2111,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2111,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2117,Board of Equalization,4,REP,JOEL ANDERSON,416,285,12,119
Orange,2117,Board of Equalization,4,DEM,MIKE SCHAEFER,939,538,19,382
Orange,2122,Board of Equalization,4,REP,JOEL ANDERSON,1,1,0,0
Orange,2122,Board of Equalization,4,DEM,MIKE SCHAEFER,5,5,0,0
Orange,2128,Board of Equalization,4,REP,JOEL ANDERSON,360,239,5,116
Orange,2128,Board of Equalization,4,DEM,MIKE SCHAEFER,596,330,18,248
Orange,2133,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2133,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2143,Board of Equalization,4,REP,JOEL ANDERSON,355,226,10,119
Orange,2143,Board of Equalization,4,DEM,MIKE SCHAEFER,839,496,41,302
Orange,2148,Board of Equalization,4,REP,JOEL ANDERSON,366,253,4,109
Orange,2148,Board of Equalization,4,DEM,MIKE SCHAEFER,338,194,7,137
Orange,2152,Board of Equalization,4,REP,JOEL ANDERSON,577,370,10,197
Orange,2152,Board of Equalization,4,DEM,MIKE SCHAEFER,643,402,12,229
Orange,2153,Board of Equalization,4,REP,JOEL ANDERSON,15,13,2,0
Orange,2153,Board of Equalization,4,DEM,MIKE SCHAEFER,73,65,2,6
Orange,2160,Board of Equalization,4,REP,JOEL ANDERSON,446,283,5,158
Orange,2160,Board of Equalization,4,DEM,MIKE SCHAEFER,539,290,12,237
Orange,2166,Board of Equalization,4,REP,JOEL ANDERSON,578,357,3,218
Orange,2166,Board of Equalization,4,DEM,MIKE SCHAEFER,766,411,16,339
Orange,2171,Board of Equalization,4,REP,JOEL ANDERSON,348,228,2,118
Orange,2171,Board of Equalization,4,DEM,MIKE SCHAEFER,441,275,4,162
Orange,2181,Board of Equalization,4,REP,JOEL ANDERSON,509,392,8,109
Orange,2181,Board of Equalization,4,DEM,MIKE SCHAEFER,776,527,7,242
Orange,2182,Board of Equalization,4,REP,JOEL ANDERSON,245,167,2,76
Orange,2182,Board of Equalization,4,DEM,MIKE SCHAEFER,270,185,6,79
Orange,2187,Board of Equalization,4,REP,JOEL ANDERSON,338,201,12,125
Orange,2187,Board of Equalization,4,DEM,MIKE SCHAEFER,883,539,20,324
Orange,2193,Board of Equalization,4,REP,JOEL ANDERSON,336,185,9,142
Orange,2193,Board of Equalization,4,DEM,MIKE SCHAEFER,1039,591,21,427
Orange,2194,Board of Equalization,4,REP,JOEL ANDERSON,446,284,24,138
Orange,2194,Board of Equalization,4,DEM,MIKE SCHAEFER,925,537,51,337
Orange,2201,Board of Equalization,4,REP,JOEL ANDERSON,432,294,9,129
Orange,2201,Board of Equalization,4,DEM,MIKE SCHAEFER,587,345,6,236
Orange,2205,Board of Equalization,4,REP,JOEL ANDERSON,180,108,2,70
Orange,2205,Board of Equalization,4,DEM,MIKE SCHAEFER,477,264,11,202
Orange,2212,Board of Equalization,4,REP,JOEL ANDERSON,210,148,0,62
Orange,2212,Board of Equalization,4,DEM,MIKE SCHAEFER,359,225,4,130
Orange,2216,Board of Equalization,4,REP,JOEL ANDERSON,287,178,7,102
Orange,2216,Board of Equalization,4,DEM,MIKE SCHAEFER,910,503,30,377
Orange,2223,Board of Equalization,4,REP,JOEL ANDERSON,354,212,13,129
Orange,2223,Board of Equalization,4,DEM,MIKE SCHAEFER,758,443,29,286
Orange,2224,Board of Equalization,4,REP,JOEL ANDERSON,277,172,11,94
Orange,2224,Board of Equalization,4,DEM,MIKE SCHAEFER,231,132,6,93
Orange,2225,Board of Equalization,4,REP,JOEL ANDERSON,323,199,12,112
Orange,2225,Board of Equalization,4,DEM,MIKE SCHAEFER,775,460,39,276
Orange,2228,Board of Equalization,4,REP,JOEL ANDERSON,98,48,1,49
Orange,2228,Board of Equalization,4,DEM,MIKE SCHAEFER,300,146,8,146
Orange,2229,Board of Equalization,4,REP,JOEL ANDERSON,384,211,9,164
Orange,2229,Board of Equalization,4,DEM,MIKE SCHAEFER,459,249,5,205
Orange,2230,Board of Equalization,4,REP,JOEL ANDERSON,367,212,6,149
Orange,2230,Board of Equalization,4,DEM,MIKE SCHAEFER,457,263,12,182
Orange,2234,Board of Equalization,4,REP,JOEL ANDERSON,824,548,11,265
Orange,2234,Board of Equalization,4,DEM,MIKE SCHAEFER,441,259,12,170
Orange,2235,Board of Equalization,4,REP,JOEL ANDERSON,423,252,1,170
Orange,2235,Board of Equalization,4,DEM,MIKE SCHAEFER,407,245,3,159
Orange,2237,Board of Equalization,4,REP,JOEL ANDERSON,453,263,3,187
Orange,2237,Board of Equalization,4,DEM,MIKE SCHAEFER,254,156,3,95
Orange,2238,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2238,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2242,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2242,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2244,Board of Equalization,4,REP,JOEL ANDERSON,558,313,1,244
Orange,2244,Board of Equalization,4,DEM,MIKE SCHAEFER,435,250,3,182
Orange,2303,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2303,Board of Equalization,4,DEM,MIKE SCHAEFER,2,2,0,0
Orange,2304,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2304,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2306,Board of Equalization,4,REP,JOEL ANDERSON,20,20,0,0
Orange,2306,Board of Equalization,4,DEM,MIKE SCHAEFER,35,32,1,2
Orange,2307,Board of Equalization,4,REP,JOEL ANDERSON,63,57,1,5
Orange,2307,Board of Equalization,4,DEM,MIKE SCHAEFER,85,83,0,2
Orange,2315,Board of Equalization,4,REP,JOEL ANDERSON,212,131,6,75
Orange,2315,Board of Equalization,4,DEM,MIKE SCHAEFER,287,162,7,118
Orange,2319,Board of Equalization,4,REP,JOEL ANDERSON,234,145,3,86
Orange,2319,Board of Equalization,4,DEM,MIKE SCHAEFER,346,197,4,145
Orange,2322,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2322,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2331,Board of Equalization,4,REP,JOEL ANDERSON,70,68,0,2
Orange,2331,Board of Equalization,4,DEM,MIKE SCHAEFER,70,69,1,0
Orange,2337,Board of Equalization,4,REP,JOEL ANDERSON,203,127,3,73
Orange,2337,Board of Equalization,4,DEM,MIKE SCHAEFER,291,174,5,112
Orange,2338,Board of Equalization,4,REP,JOEL ANDERSON,123,66,1,56
Orange,2338,Board of Equalization,4,DEM,MIKE SCHAEFER,192,106,1,85
Orange,2341,Board of Equalization,4,REP,JOEL ANDERSON,206,122,0,84
Orange,2341,Board of Equalization,4,DEM,MIKE SCHAEFER,238,132,2,104
Orange,2345,Board of Equalization,4,REP,JOEL ANDERSON,246,135,4,107
Orange,2345,Board of Equalization,4,DEM,MIKE SCHAEFER,146,84,2,60
Orange,2347,Board of Equalization,4,REP,JOEL ANDERSON,174,118,1,55
Orange,2347,Board of Equalization,4,DEM,MIKE SCHAEFER,243,151,3,89
Orange,2352,Board of Equalization,4,REP,JOEL ANDERSON,281,159,2,120
Orange,2352,Board of Equalization,4,DEM,MIKE SCHAEFER,406,222,8,176
Orange,2355,Board of Equalization,4,REP,JOEL ANDERSON,48,46,2,0
Orange,2355,Board of Equalization,4,DEM,MIKE SCHAEFER,103,100,1,2
Orange,2356,Board of Equalization,4,REP,JOEL ANDERSON,238,161,4,73
Orange,2356,Board of Equalization,4,DEM,MIKE SCHAEFER,352,220,9,123
Orange,2357,Board of Equalization,4,REP,JOEL ANDERSON,240,177,0,63
Orange,2357,Board of Equalization,4,DEM,MIKE SCHAEFER,291,168,3,120
Orange,2361,Board of Equalization,4,REP,JOEL ANDERSON,79,55,0,24
Orange,2361,Board of Equalization,4,DEM,MIKE SCHAEFER,85,54,1,30
Orange,2368,Board of Equalization,4,REP,JOEL ANDERSON,161,108,3,50
Orange,2368,Board of Equalization,4,DEM,MIKE SCHAEFER,255,134,1,120
Orange,2370,Board of Equalization,4,REP,JOEL ANDERSON,37,36,0,1
Orange,2370,Board of Equalization,4,DEM,MIKE SCHAEFER,76,70,1,5
Orange,2371,Board of Equalization,4,REP,JOEL ANDERSON,152,98,5,49
Orange,2371,Board of Equalization,4,DEM,MIKE SCHAEFER,340,194,10,136
Orange,2377,Board of Equalization,4,REP,JOEL ANDERSON,56,53,1,2
Orange,2377,Board of Equalization,4,DEM,MIKE SCHAEFER,74,66,2,6
Orange,2385,Board of Equalization,4,REP,JOEL ANDERSON,134,93,0,41
Orange,2385,Board of Equalization,4,DEM,MIKE SCHAEFER,238,130,5,103
Orange,2387,Board of Equalization,4,REP,JOEL ANDERSON,166,111,3,52
Orange,2387,Board of Equalization,4,DEM,MIKE SCHAEFER,237,137,12,88
Orange,2389,Board of Equalization,4,REP,JOEL ANDERSON,250,129,1,120
Orange,2389,Board of Equalization,4,DEM,MIKE SCHAEFER,454,254,14,186
Orange,2391,Board of Equalization,4,REP,JOEL ANDERSON,446,290,6,150
Orange,2391,Board of Equalization,4,DEM,MIKE SCHAEFER,553,296,24,233
Orange,2392,Board of Equalization,4,REP,JOEL ANDERSON,430,266,9,155
Orange,2392,Board of Equalization,4,DEM,MIKE SCHAEFER,648,353,10,285
Orange,2398,Board of Equalization,4,REP,JOEL ANDERSON,421,240,10,171
Orange,2398,Board of Equalization,4,DEM,MIKE SCHAEFER,514,280,14,220
Orange,2401,Board of Equalization,4,REP,JOEL ANDERSON,249,181,0,68
Orange,2401,Board of Equalization,4,DEM,MIKE SCHAEFER,308,195,3,110
Orange,2402,Board of Equalization,4,REP,JOEL ANDERSON,179,113,4,62
Orange,2402,Board of Equalization,4,DEM,MIKE SCHAEFER,202,110,1,91
Orange,2405,Board of Equalization,4,REP,JOEL ANDERSON,232,160,7,65
Orange,2405,Board of Equalization,4,DEM,MIKE SCHAEFER,487,270,10,207
Orange,2408,Board of Equalization,4,REP,JOEL ANDERSON,0,0,0,0
Orange,2408,Board of Equalization,4,DEM,MIKE SCHAEFER,0,0,0,0
Orange,2409,Board of Equalization,4,REP,JOEL ANDERSON,7,7,0,0
Orange,2409,Board of Equalization,4,DEM,MIKE SCHAEFER,22,21,0,1
Orange,2429,Board of Equalization,4,REP,JOEL ANDERSON,244,157,3,84
